,Model,Brand,Price,Odometer,Paint color,Condition,Fuel,Transmission,Type
218,2006,2006,3000.0,200000,silver,good,gas,automatic,sedan
219,2014,Volkswagen,18990.0,57814,silver,good,other,automatic,sedan
220,2002,2002,5250.0,242000,blue,good,gas,automatic,pickup
221,2015,Subaru,27990.0,32584,black,good,gas,automatic,hatchback
222,2016,Acura,23990.0,18100,red,good,other,automatic,sedan
223,2017,Ford,32590.0,24888,white,good,other,automatic,sedan
224,2010,Toyota,17590.0,24861,silver,good,other,other,sedan
225,2016,Scion,26590.0,34350,black,good,gas,automatic,coupe
226,2017,Cadillac,32590.0,27606,red,good,gas,other,sedan
227,2016,Chrysler,17675.0,65125,red,good,gas,automatic,sedan
228,2018,Lincoln,32990.0,15322,white,good,gas,automatic,sedan
229,2017,Nissan,25990.0,28011,white,good,gas,automatic,sedan
230,2013,BMW,34590.0,48158,black,good,gas,automatic,coupe
231,2018,Chevrolet,24990.0,16853,black,good,electric,other,sedan
232,2016,Ram,27990.0,53882,white,good,other,other,van
233,2019,Ram,29990.0,20034,white,good,gas,other,pickup
234,2006,Bmw,5500.0,225000,black,good,gas,manual,sedan
235,2018,Kia,18990.0,36939,black,good,gas,other,hatchback
236,2015,Lexus,39590.0,14993,red,good,gas,other,coupe
237,2018,BMW,38990.0,20724,blue,good,hybrid,automatic,sedan
238,2013,GMC,27990.0,74177,red,good,other,other,pickup
239,2021,Volkswagen,33990.0,2717,white,good,other,other,sedan
240,2017,Subaru,27990.0,15647,white,good,other,automatic,hatchback
241,2013,Cadillac,21990.0,47946,red,good,gas,other,sedan
242,2014,Mercedes-Benz,37590.0,36863,black,good,other,automatic,coupe
243,2016,Lexus,33990.0,46454,white,good,gas,other,coupe
244,2008,toyota,12550.0,248890,white,good,gas,automatic,SUV
245,2021,Toyota,32590.0,5204,silver,good,other,other,sedan
246,2014,Chrysler,17590.0,84332,white,good,gas,automatic,van
247,2019,MAZDA,24990.0,6494,black,good,gas,automatic,hatchback
248,2017,Toyota,33990.0,96230,black,good,gas,automatic,pickup
249,2016,toyota,29250.0,104512,grey,good,gas,automatic,truck
250,2016,Chevrolet,19990.0,41031,white,good,gas,other,sedan
251,2014,Mercedes-Benz,23990.0,30992,white,good,gas,automatic,sedan
252,2017,Nissan,22990.0,24096,black,good,other,automatic,hatchback
253,2018,Toyota,20590.0,17316,silver,good,gas,other,sedan
254,2018,ram,27550.0,71332,black,good,gas,automatic,truck
255,2019,Volkswagen,31990.0,3752,black,good,other,other,sedan
256,2012,ram,16995.0,142296,red,good,gas,automatic,truck
257,2008,lexus,7000.0,244000,black,good,gas,automatic,SUV
258,2019,GMC,33590.0,9696,white,good,gas,other,pickup
259,2018,Chevrolet,28990.0,15937,red,good,other,automatic,pickup
260,2010,Acura,18990.0,48015,silver,good,other,other,sedan
261,2018,Cadillac,35590.0,30311,black,good,gas,other,sedan
262,2012,INFINITI,22590.0,57526,white,good,other,manual,sedan
263,2017,FIAT,17590.0,27490,black,good,other,automatic,hatchback
